rn,skillscoremean_X1,skillscoremean_X2,skillscoremean_X3,skillscoremean_total,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,h_X_1_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_sigma.01,0.392359104216522,0.356292693316102,0.534130366611699,0.427594054714774,0.408251266757403,0.101973965739781,0.417171838227465,0.309132356908216,0.12570963885943,0.150356364584411,0.121239338640704,0.132435114028182,0.201979595818846,0.232580341690654,0.147495245814284,0.196941094728044,0.1,0.1,0.1,0.1,0.1,0.1,,27.662,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
empirical_AIC_each_k,0.532245579122986,0.605752569689413,0.668652237627761,0.602216795480053,0.373902816973675,0.0594248077453481,0.365951879871138,0.266426501530054,0.0967697199635229,0.0920878320825945,0.0862309553810388,0.0916961691423854,0.154117552507428,0.131291929488979,0.111263239994864,0.133001583212953,0.123180344042236,0.123180344042236,0.123180344042236,0.216209566188115,0.216209566188115,0.216209566188115,,2632.431,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
empirical_AIC_full,0.333416427217382,0.27169037782558,0.465419881884047,0.35684222897567,0.438800065045121,0.115042760640027,0.609475624639614,0.387772816774921,0.13790378624218,0.17011766985545,0.139120765394097,0.149047407163909,0.220468638804811,0.258888964254617,0.14840477350775,0.214010930901115,0.216831425739039,0.198362661200652,0.0852631710742171,2.16828458346563,0.0840086045406644,0.260979867290473,,2857.791,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
empirical_independence,0,0,0,0,0.482807427793483,0.166214917917715,0.809625092671668,0.486215812794289,0.206881465239997,0.233578775668996,0.260243059327397,0.233567766745463,0.182200652671613,0.206984524341515,0.217807664686847,0.203373539295007,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.6579999999995,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
Gaussian,0.224323835578336,0.244582401500411,0.392805185638883,0.287237140905877,0.26921092591611,0.130124996038227,0.600176812906807,0.333170911620382,0.160473021447295,0.176449517776347,0.158018236097068,0.164980258440236,0.138920634642838,0.142093868544598,0.178712993530031,0.154003424441251,,,,,,,,20.2200000000003,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
copula,0.113033811283968,0.235329047910578,0.249568655181933,0.19931050479216,0.412227067410937,0.12341961745907,0.565685616440496,0.367110767103501,0.183496864739908,0.178610904778692,0.195294548990626,0.185800772836409,0.150255930897199,0.149840510035975,0.18907995875171,0.163694373696483,,,,,,,,31.5889999999999,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
treeSHAP,0.114869886506339,-0.181779431756298,-0.0214395743391981,-0.029449706529719,0.184270472157937,0.203636050290571,0.810427111702704,0.399444544717071,0.183117014807613,0.276038592780437,0.265822559744107,0.241659389110719,0.169810543385692,0.233595368661451,0.218834399665149,0.212621006520378,,,,,,,,0.081000000000131,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0,1,0.5,0.1,2000,100,1,1000,1235,z2pIs,2019-01-18T15:40:51.035403Z
empirical_sigma.01,0.889982808937878,0.922796953717397,0.924170150547457,0.912316637734244,0.127010575579134,0.251887924083068,0.332615485190892,0.237171328284365,0.11983411940337,0.153870485710697,0.0981034054672298,0.123936003527099,0.132302668158553,0.1438279549802,0.0852283590415869,0.124814280925825,0.1,0.1,0.1,0.1,0.1,0.1,,13.4490000000005,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
empirical_AIC_each_k,0.873255499862783,0.913343293383016,0.8989074832235,0.8951687588231,0.165099166282711,0.309187503022478,0.360185073207433,0.278157247504207,0.138054020617446,0.172712220298091,0.130786494165921,0.147184245027153,0.246484028520111,0.212723838351369,0.213954278745252,0.224925363654545,0.0924176611138938,0.0924176611138938,0.0924176611138938,0.119803939056693,0.119803939056693,0.119803939056693,,2193.738,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
empirical_AIC_full,0.819235735063639,0.893400558166717,0.886536214212539,0.866390835814298,0.183715534588206,0.244225974167426,0.453076669517938,0.29367272609119,0.196894015372696,0.212459335235747,0.14679158488796,0.185381645165468,0.258603619752783,0.276923741038976,0.163243178547115,0.239050340553858,0.0151139026869622,0.198141158380873,0.0466996092509511,0.440898699291094,0.0517127508780809,0.140182380235383,,2918.231,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
empirical_independence,0,0,0,0,1.16279657835578,2.42925299112136,3.01396781797279,2.20200579581664,1.08923085789115,1.99306236113341,1.2937307165383,1.45867464518762,1.1248032413938,1.98872630127032,1.0061094291146,1.48790121212132,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.4080000000013,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
Gaussian,0.879086547956501,0.949533155405574,0.903553112467323,0.910724271943132,0.1806701910741,0.120314624816908,0.455594113572722,0.25219297648791,0.131702663099922,0.10058356844632,0.124776300915538,0.119020844153927,0.0910686538063635,0.100790881487207,0.105813740613315,0.0999770001267499,,,,,,,,13.8670000000002,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
copula,0.867222351678784,0.870746952082883,0.855516720490295,0.864495341417321,0.361261870356824,0.358507634128304,0.581592190443146,0.433787231642758,0.144625511789688,0.257609384865379,0.186922456727894,0.196385784460987,0.172160920749059,0.310949629574822,0.177372053295299,0.233290416208157,,,,,,,,17.8909999999996,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
treeSHAP,-0.10884205672429,-0.128453188371876,-0.0412298027857437,-0.0928416826273031,0.699303489984161,2.70239950694044,3.10302586252275,2.16824295314912,1.20778498471159,2.24907757604497,1.34707097883903,1.6013111798652,1.20073802342397,2.10205231214712,1.03667790045439,1.58429247107412,,,,,,,,0.0360000000000582,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,5,0,1,0.5,0.1,2000,100,1,1000,1236,aESZb,2019-01-18T17:15:35.170850Z
empirical_sigma.01,0.672777753711938,0.747854906169693,0.804367137016372,0.741666598966001,0.0896926161799767,0.279393056482344,0.232940226609143,0.200675299757155,0.127852219716535,0.160197030984369,0.108810858748169,0.132286703149691,0.249068152739577,0.285363047709391,0.11521014980912,0.228798486439025,0.1,0.1,0.1,0.1,0.1,0.1,,26.4899999999998,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
empirical_AIC_each_k,0.780610028831759,0.780697831594978,0.836314251237643,0.799207370554793,0.0568717086380856,0.260579666054689,0.230674039965026,0.1827084715526,0.0857200117522374,0.139330715237164,0.0910418966222445,0.105364207870549,0.18448097937471,0.173325460128235,0.0692398610193038,0.152925934424547,0.206762292416704,0.206762292416704,0.206762292416704,0.192055237757346,0.192055237757346,0.192055237757346,,2261.598,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
empirical_AIC_full,0.628392111554039,0.741950125276193,0.83137276049303,0.733904999107754,0.105126917783284,0.267075715139508,0.187211752441203,0.186471461787999,0.14519457017652,0.16394855497154,0.0937903502471476,0.134311158465069,0.274950830869032,0.305890244225151,0.100202667828241,0.245395088995919,0.0591611500558106,0.3030654324504,0.130036097671342,4.6809338000947,0.0918900245321239,0.208093102488808,,2596.542,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
empirical_independence,0,0,0,0,0.255811509325177,1.33653291560364,1.21758753758529,0.9366439875047,0.390719827783295,0.635336696625084,0.556199286197001,0.527418603535127,0.43472525512166,0.591089520115746,0.397833574475094,0.491002378867972,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.3850000000002,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
Gaussian,0.49046880615527,0.727423163195003,0.691542203968994,0.636478057773089,0.176410134122566,0.256737829405869,0.338822864013352,0.257323609180596,0.199083940309229,0.173178067072202,0.171564005974346,0.181275337785259,0.208032579953765,0.167981474541989,0.118511676327402,0.168766889301705,,,,,,,,19.8359999999993,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
copula,0.411214024346985,0.541528507714912,0.614240511359683,0.522327681140527,0.180505108011587,0.412923294329906,0.424454960874581,0.339294454405358,0.230050355008365,0.29128376340518,0.214559152225465,0.24529775687967,0.255035293614059,0.280326371132588,0.170579857468889,0.241433973718738,,,,,,,,27.2350000000006,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
treeSHAP,-0.0844798729048657,-0.126428326211272,-0.00951545055375678,-0.0734745498899649,0.277262620517421,1.53728037373295,1.25241244472154,1.0223184796573,0.423727789175839,0.715661251759992,0.561491773002843,0.566960271312891,0.497299245883135,0.691349663151682,0.403609495960709,0.555286914510383,,,,,,,,0.0750000000007276,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0,1,0.5,0.1,2000,100,1,1000,1236,R0t4U,2019-01-18T17:21:14.271491Z
empirical_sigma.01,0.93158857976359,0.942570925854604,0.934839009735713,0.936332838451302,0.0909672189737393,0.522023137084562,0.101139097599569,0.23804315121929,0.164658014470651,0.265006681962367,0.161182874892137,0.196949190441718,0.142361362396322,0.183303585791601,0.139114109992673,0.162999961236279,0.1,0.1,0.1,0.1,0.1,0.1,,20.5820000000003,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
empirical_AIC_each_k,0.922223258738736,0.936226691666361,0.921368635391544,0.926606195265547,0.0950222186102644,0.47453835507976,0.093252560666871,0.220937711452298,0.1871992094861,0.294282174852295,0.194503327111482,0.225328237149959,0.228798146436871,0.397588520139869,0.308170593584594,0.321731850938193,0.0721798084890865,0.0721798084890865,0.0721798084890865,0.0715707611296931,0.0715707611296931,0.0715707611296931,,2466.949,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
empirical_AIC_full,0.927107752232303,0.941989428300243,0.903125179466349,0.924074119999632,0.0918883672507098,0.525678639642492,0.133678749083897,0.250415251992366,0.175442824403518,0.267690004647673,0.239630521496718,0.22758778351597,0.21291377808794,0.321452654500035,0.349290294278478,0.301852380444334,0.0290897746007724,0.178227621306306,0.0170145982355454,0.36846907041483,0.0470992647936564,0.0744364132276426,,2969.12,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
empirical_independence,0,0,0,0,0.735222267415934,10.6490912963361,1.15787081630728,4.18072812668643,2.40687905471982,4.61450381894436,2.47360996569256,3.16499761311891,2.27677660644357,4.26573789011231,2.01139242533446,3.18364867718857,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.2840000000015,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0,1,0.5,0.1,2000,100,1,1000,1236,Z1mQ9,2019-01-18T17:23:50.130845Z
