rn,absrelmean_X1,absrelmean_X2,absrelmean_X3,absrelmean_total,absmean_X1,absmean_X2,absmean_X3,absmean_total,abssd_X1,abssd_X2,abssd_X3,abssd_total,h_X_1,h_X_2,h_X_3,h_X_1_2,h_X_1_3,h_X_2_3,comp_time,true_model,fitted_model,variables,notes,X_dim,X_GenHyp,beta.scale,rho,lambda,omega,sd_noise,nTrain,nTest,w_threshold,n_threshold,this.seed,run_indicator,run_date_time
empirical_AIC_each_k,0.0581935023808189,0.233948635257172,0.184968157567447,0.159036765068479,0.198722996893401,0.219691896712603,0.193715056201103,0.204043316602369,0.441584846202449,0.303697931622615,0.369945294313843,0.374892669754278,0.040867980958348,0.040867980958348,0.040867980958348,0.065509427783742,0.065509427783742,0.065509427783742,1468.412,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
empirical_AIC_full,0.0580856605038075,0.225311886974829,0.172127561196453,0.151841702891696,0.169748039671493,0.234615951212111,0.196833496446407,0.200399162443337,0.304448064837397,0.332568672390513,0.291866692417367,0.310202727430272,0.0329505052012788,0.0903762513974425,0.0157175708251906,0.159300195985518,0.0484873209201501,0.0638970893513717,1396.997,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
empirical_independence,0.76560821916251,2.84761850844427,4.41305773360403,2.67542815373694,2.40664114597209,4.56778290266579,2.29740896782926,3.09061100548905,2.38143902639094,4.3472740045965,1.99127590241903,3.2472726736961,Inf,Inf,Inf,Inf,Inf,Inf,2.35000000000036,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
Gaussian,0.0311297228717465,0.0772205625312496,0.340963179734982,0.149771155045993,0.0841447627899157,0.0779607549484638,0.101397856743929,0.0878344581607696,0.0843176583111486,0.0954409364651615,0.115921869493535,0.0995891663371124,,,,,,,2.15799999999945,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
copula,0.0425878768110727,0.0805932708751455,0.176061983488927,0.0997477103917149,0.104885597701397,0.166039067120837,0.148660417825558,0.139861694215931,0.148132592318638,0.243962875589129,0.137315060126553,0.184063578947527,,,,,,,5.21900000000096,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
treeSHAP,0.799962238310878,2.96802701819828,5.93134086368516,3.23311004006477,2.47572248460785,4.50683092467338,2.15995822279296,3.04750387735806,2.28134268262511,4.17106497167872,1.91054304172517,3.12687476913804,,,,,,,0.00599999999940337,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,10,0.5,1,0.5,0.1,2000,100,1,1000,1235,PoGct,2019-01-07T12:46:28.693089Z
empirical_sigma.01,0.0840812861946442,0.218121012530907,0.362592338434074,0.221598212386542,0.112074059215699,0.139248039380809,0.0953945824029853,0.115572226999831,0.100652571020763,0.121327468274565,0.0925654452725449,0.106738480017284,0.1,0.1,0.1,0.1,0.1,0.1,2.79899999999907,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
empirical_AIC_each_k,0.0573129178110388,0.241393171662602,0.282376564293249,0.193694217922296,0.0747781580960767,0.104246447459422,0.0741014396394488,0.0843753483983159,0.063527627649675,0.0753725785176433,0.0719766111496473,0.0716293023230854,0.205975992929473,0.205975992929473,0.205975992929473,0.167027741770243,0.167027741770243,0.167027741770243,1203.037,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
empirical_AIC_full,0.0714831806619848,0.168666544480504,0.280469352775716,0.173539692639402,0.0949798793764259,0.128119197302677,0.0803776064143606,0.101158894364488,0.0904344448396093,0.115509359436471,0.0724628535538292,0.0962522631534882,0.154052517839107,0.247586490121295,0.155968839586542,0.221840645935914,0.0981852711743412,0.172284732472139,1415.543,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
empirical_independence,0.247797230186103,1.66180225164748,1.75363217013948,1.22107721732435,0.374573780931512,0.576089955167822,0.529349137610945,0.493337624570093,0.384463066900966,0.553105639517142,0.375421998193681,0.452041896236934,Inf,Inf,Inf,Inf,Inf,Inf,2.85499999999956,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
Gaussian,0.100889525909174,0.667620326520015,0.187419594086819,0.318643148838669,0.130797555920115,0.183250934714591,0.114088949206095,0.142712479946934,0.110383372002673,0.116523794715147,0.0984138508460805,0.112285070995279,,,,,,,2.625,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
copula,0.0794119198449881,0.445778902922582,0.210667419549465,0.245286080772345,0.113102482360325,0.150355754558624,0.120858784295521,0.128105673738157,0.139793136352115,0.131036268898234,0.0749359067216895,0.119471262634126,,,,,,,5.48099999999977,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
treeSHAP,0.239948000918598,1.99637156477923,1.82398089241331,1.35343348603705,0.361039910901662,0.64656593100696,0.553238450383876,0.520281430764166,0.398031384125034,0.613879521887931,0.370163681668926,0.486598672359533,,,,,,,0.00500000000101863,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1236,ow37b,2019-01-07T14:52:52.349364Z
empirical_sigma.01,0.0613696273038034,0.151207313502486,1.57639718432715,0.596324708377814,0.0811008575451385,0.108264558798689,0.0860912412265858,0.0918188858568044,0.153761838004601,0.206078602679007,0.0955916421845681,0.15828777507056,0.1,0.1,0.1,0.1,0.1,0.1,2.646,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
empirical_AIC_each_k,0.0461697490804259,0.115546268046918,1.29951091098916,0.487075642705501,0.0609331092429126,0.0852425808630747,0.086512073883612,0.0775625879965331,0.103236980343748,0.151346217017071,0.0839844366703217,0.116565084951865,0.181606212674972,0.181606212674972,0.181606212674972,0.149956482553156,0.149956482553156,0.149956482553156,1378.011,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
empirical_AIC_full,0.0637566172368041,0.152847946304153,1.27677447844305,0.497793013994671,0.0826521798261479,0.120530213993969,0.0930157978638271,0.0987327305613147,0.139826524365562,0.231095776704233,0.112676165264348,0.169163300543023,0.128456706623525,0.203701086814238,0.196585199507559,0.387523003396378,0.0840252728853945,0.185914988460415,1366.618,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
empirical_independence,0.254388691514061,0.876315303040029,4.78305120923826,1.97125173459745,0.323989625279808,0.538042824689324,0.459828630743409,0.440620360237514,0.30861020352347,0.452769748235555,0.383486857771269,0.394905969318721,Inf,Inf,Inf,Inf,Inf,Inf,2.79399999999987,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
Gaussian,0.0859539232726256,0.292709657379781,0.348675011624936,0.242446197425781,0.0973213002713112,0.150296719695592,0.109729456875887,0.119115825614264,0.0767579442779839,0.103661762707117,0.102865150932044,0.097599872387029,,,,,,,2.47199999999975,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
copula,0.099790748947472,0.234042956440477,0.345056732301826,0.226296812563258,0.105128501964011,0.135672534695343,0.110703505237106,0.117168180632153,0.0838287472718249,0.134672590336376,0.119775349674686,0.115147362117732,,,,,,,5.63600000000042,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
treeSHAP,0.234758197224446,1.06726754392787,5.0891326109688,2.13038611737371,0.29222591626819,0.568402743873942,0.49291833347068,0.451182331204271,0.279092871833599,0.503650452022458,0.40751682722673,0.422367894508144,,,,,,,0.00499999999965439,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,1,0.5,1,0.5,0.1,2000,100,1,1000,1240,YwyQx,2019-01-07T14:52:41.048505Z
empirical_sigma.01,0.0675945839755289,0.329196192696493,0.802879324921385,0.399890033864469,0.0878093527919181,0.132048592820167,0.116040466577256,0.111966137396447,0.107559590801928,0.143486414127974,0.111132499310368,0.12276936249981,0.1,0.1,0.1,0.1,0.1,0.1,2.75700000000143,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
empirical_AIC_each_k,0.0546042351988244,0.24288818825393,1.18912269546128,0.495538372971346,0.0649458868601701,0.142044093460555,0.124754623002394,0.11058153444104,0.0776745317994359,0.137556261076571,0.0927338543140835,0.110475501182937,0.186399257295877,0.186399257295877,0.186399257295877,0.144023990030292,0.144023990030292,0.144023990030292,1198.359,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
empirical_AIC_full,0.0800447265113572,0.399474962408902,1.22829878194196,0.569272823620739,0.0951181637196257,0.151712957788612,0.137477002143227,0.128102707883822,0.0799074019543481,0.171262105520521,0.106448464826826,0.127110947524823,0.114220818023866,0.239808931281186,0.158952856882364,0.523881227277839,0.0790096930427593,0.164005826402826,1275.803,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
empirical_independence,0.356472339082434,3.46618160921838,8.64015175704948,4.1542685684501,0.497245776062603,0.906084768443959,0.746258540534422,0.716529695013661,0.525352102817353,0.855550003122233,0.494549854391939,0.665669166552545,Inf,Inf,Inf,Inf,Inf,Inf,2.83799999999974,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
Gaussian,0.113548261393928,0.49255633821982,1.8591972157633,0.82176727179235,0.134526383405493,0.127405632730654,0.0936809395094252,0.118537651881857,0.111290054709751,0.0956222261607516,0.0838666448697482,0.0988719152166371,,,,,,,2.65399999999863,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
copula,0.0957972415537294,0.446771438023173,1.22196282147281,0.588177167016569,0.126483175211796,0.172402899269377,0.119679832192242,0.139521968891138,0.149319984574804,0.202442342245406,0.105837624260459,0.158779867939356,,,,,,,5.58199999999852,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
treeSHAP,0.373927309704102,4.01421005839132,8.18347701330078,4.19053812713207,0.546987734006121,1.04434129037866,0.762386840911446,0.784571955098743,0.579545513541857,0.980234459816835,0.515988639832593,0.74774256813503,,,,,,,0.00600000000122236,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1236,u624h,2019-01-07T15:37:09.867534Z
empirical_sigma.01,0.0724810975925507,0.340240971836502,1.34147922148784,0.584733763638966,0.101416637218808,0.16429928276606,0.135620877780848,0.133778932588572,0.171318249985457,0.257261744527934,0.178280411376457,0.206925641584711,0.1,0.1,0.1,0.1,0.1,0.1,3.03499999999985,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1240,FNycb,2019-01-07T15:38:46.481881Z
empirical_AIC_each_k,0.0788638434684011,0.289653185671995,1.45213442508902,0.606883818076472,0.107733318731729,0.161285522164708,0.141586740069765,0.136868526988734,0.163003548217323,0.236015612548708,0.179102787241056,0.195838931753385,0.0535970515951174,0.0535970515951174,0.0535970515951174,0.129773051194965,0.129773051194965,0.129773051194965,1477.458,PiecewiseConstant,XGBoost,GenHyp,"All var equal contribution. Increasing beat.scale, while adjusting mu for constant mean, but increasing variance and skewness.",3,TRUE,2,0.5,1,0.5,0.1,2000,100,1,1000,1240,FNycb,2019-01-07T15:38:46.481881Z
